"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2025","1,195.00","1,210.00","1,210.00","1,195.00","","-0.42%"
"04/25/2025","1,200.00","1,215.00","1,215.00","1,200.00","","-1.23%"
"04/24/2025","1,215.00","1,215.00","1,215.00","1,215.00","","1.25%"
"04/23/2025","1,200.00","1,185.00","1,200.00","1,185.00","","2.13%"
"04/22/2025","1,175.00","1,155.00","1,175.00","1,155.00","","3.98%"
"04/21/2025","1,130.00","1,180.00","1,180.00","1,130.00","","-7.38%"
"04/16/2025","1,220.00","1,280.00","1,280.00","1,220.00","","-2.79%"
"04/15/2025","1,255.00","1,280.00","1,280.00","1,255.00","","0.00%"
"04/14/2025","1,255.00","1,365.00","1,365.00","1,255.00","","-7.38%"
"04/11/2025","1,355.00","1,365.00","1,365.00","1,355.00","","0.74%"
