fecha,dolar_blue,dolar_oficial,valor,rsi,day_of_week,is_end_of_month,brecha
2022-09-23,287.0,145.44,287.0,54.281179778917036,4,0,0.9733223322332234
2022-09-26,286.0,146.27,286.0,52.98070689045715,0,1,0.9552881657209269
2022-09-27,286.0,146.57,286.0,52.98070689045715,1,1,0.951286074913011
2022-09-28,290.0,146.86,290.0,57.683843533598896,2,1,0.9746697535067409
2022-09-29,288.0,147.07,288.0,54.73577574001134,3,1,0.9582511729108588
2022-09-30,288.0,147.32,288.0,54.73577574001133,4,1,0.9549280477871301
2022-10-03,284.0,148.23,284.0,48.934807081453364,0,0,0.9159414423531
2022-10-04,282.0,148.59,282.0,46.29301061551285,1,0,0.8978396931152837
2022-10-05,282.0,148.88,282.0,46.29301061551285,2,0,0.8941429339065019
2022-10-06,277.0,149.2,277.0,40.02758924256976,3,0,0.8565683646112602
2022-10-11,280.0,150.69,280.0,44.85053212657276,1,0,0.8581193178047648
2022-10-12,289.0,151.04,289.0,56.22420206724233,2,0,0.9134004237288137
2022-10-13,291.0,151.3,291.0,58.2831391927041,3,0,0.9233311302048908
2022-10-14,290.0,151.64,290.0,56.843529579724844,4,0,0.9124241624901083
2022-10-17,287.0,152.5,287.0,52.642602955623396,0,0,0.8819672131147541
2022-10-18,290.0,152.82,290.0,56.13383273175929,1,0,0.897657374689177
2022-10-19,292.0,153.18,292.0,58.33886587636589,2,0,0.9062540801671236
2022-10-20,291.0,153.51,291.0,56.80142180536825,3,0,0.8956419777213211
2022-10-21,291.0,153.79,291.0,56.80142180536825,4,0,0.8921906495870994
2022-10-24,291.0,154.74,291.0,56.80142180536825,0,0,0.8805738658394725
2022-10-25,293.0,155.08,293.0,59.469550710250964,1,0,0.8893474335826669
2022-10-26,292.0,155.39,292.0,57.55539151089528,2,1,0.8791428019821097
2022-10-27,291.0,155.69,291.0,55.62717805265937,3,1,0.8690988502794014
2022-10-28,292.0,156.02,292.0,57.17235415710914,4,1,0.8715549288552749
2022-10-31,290.0,156.91,290.0,53.183462659797954,0,1,0.8481932317889236
2022-11-01,290.0,157.28,290.0,53.183462659797954,1,0,0.8438453713123092
2022-11-02,291.0,157.6,291.0,55.00391876250724,2,0,0.8464467005076143
2022-11-03,287.0,157.92,287.0,47.11239639071138,3,0,0.8173758865248228
2022-11-04,289.0,158.28,289.0,50.90517557661929,4,0,0.8258781905483953
2022-11-07,290.0,159.37,290.0,52.73049717232514,0,0,0.8196649306644914
2022-11-08,291.0,159.71,291.0,54.55028005530842,1,0,0.8220524701020598
2022-11-09,292.0,160.02,292.0,56.35958630556493,2,0,0.8247719035120609
2022-11-10,292.0,160.39,292.0,56.35958630556493,3,0,0.8205623792006984
2022-11-11,293.0,160.39,293.0,58.28550194913946,4,0,0.826797181869194
2022-11-14,294.0,161.78,294.0,60.17808616441845,0,0,0.8172827296328347
2022-11-15,302.0,162.12,302.0,71.3692561680999,1,0,0.8628176659264741
2022-11-16,308.0,162.47,308.0,76.6657965888197,2,0,0.8957345971563981
2022-11-17,307.0,162.78,307.0,74.20197883672239,3,0,0.885981078756604
2022-11-18,307.0,163.18,307.0,74.20197883672239,4,0,0.881358009559995
2022-11-22,308.0,164.51,308.0,75.12895862352272,1,0,0.8722266123639901
2022-11-23,312.0,164.84,312.0,78.46261954533611,2,0,0.8927444794952681
2022-11-24,319.0,164.84,319.0,82.80599389941577,3,0,0.935209900509585
2022-11-25,320.0,165.59,320.0,83.32339652552687,4,0,0.9324838456428528
2022-11-28,318.0,166.6,318.0,78.25162593076125,0,1,0.9087635054021609
2022-11-29,315.0,166.96,315.0,71.24626257773664,1,1,0.8866794441782462
2022-11-30,314.0,167.28,314.0,69.02793535741492,2,1,0.877092300334768
2022-12-01,313.0,167.72,313.0,66.78844330445978,3,0,0.8662055807297877
2022-12-02,312.0,168.09,312.0,64.53370609412586,4,0,0.8561484918793503
2022-12-05,312.0,169.16,312.0,64.53370609412586,0,0,0.8444076613856704
2022-12-06,315.0,169.49,315.0,68.26165160271842,1,0,0.8585167266505398
2022-12-07,316.0,169.9,316.0,69.41567874252397,2,0,0.8599175985874042
2022-12-12,312.0,171.37,312.0,60.01543092918572,0,0,0.8206220458656707
2022-12-13,315.0,171.81,315.0,63.95765016527555,1,0,0.8334206390780513
2022-12-14,320.0,172.05,320.0,69.37681269714508,2,0,0.8599244405696017
2022-12-15,320.0,172.39,320.0,69.37681269714508,3,0,0.8562561633505426
2022-12-16,321.0,172.7,321.0,70.40881530318899,4,0,0.8587145338737696
2022-12-19,325.0,173.6,325.0,74.15999350843056,0,0,0.8721198156682028
2022-12-20,326.0,173.6,326.0,75.01279455258785,1,0,0.8778801843317973
