fecha,dolar_blue
2021-04-28,162.0
2021-04-29,154.0
2021-04-30,150.0
2021-05-03,153.0
2021-05-04,154.0
2021-05-05,151.0
2021-05-06,151.0
2021-05-07,151.0
2021-05-10,152.0
2021-05-11,151.0
2021-05-12,152.0
2021-05-13,151.0
2021-05-14,153.0
2021-05-17,153.0
2021-05-18,156.0
2021-05-19,156.0
2021-05-20,155.0
2021-05-21,153.0
2021-05-24,153.0
2021-05-26,155.0
2021-05-27,157.0
2021-05-28,157.0
2021-05-31,157.0
2021-06-01,155.0
2021-06-02,156.0
2021-06-03,156.0
2021-06-04,157.0
2021-06-07,157.0
2021-06-08,156.0
2021-06-09,156.0
2021-06-10,157.0
2021-06-11,158.0
2021-06-14,158.0
2021-06-15,160.0
2021-06-16,163.0
2021-06-17,163.0
2021-06-18,164.0
2021-06-22,165.0
2021-06-23,166.0
2021-06-24,170.0
2021-06-25,174.0
2021-06-28,173.0
2021-06-29,170.0
2021-06-30,168.0
2021-07-01,169.0
2021-07-02,170.0
2021-07-05,171.0
2021-07-06,171.0
2021-07-07,172.0
2021-07-08,174.0
2021-07-12,177.0
2021-07-13,176.0
2021-07-14,177.0
2021-07-15,178.0
2021-07-16,179.0
2021-07-19,180.0
2021-07-20,182.0
2021-07-21,182.5
2021-07-22,184.5
2021-07-23,184.5
2021-07-26,185.0
2021-07-27,183.0
2021-07-28,180.0
2021-07-29,180.0
2021-07-30,180.5
2021-08-02,180.5
2021-08-03,180.5
2021-08-04,180.5
2021-08-05,180.5
2021-08-06,178.5
2021-08-09,179.0
2021-08-10,178.0
2021-08-11,178.0
2021-08-12,178.5
2021-08-13,182.0
2021-08-17,183.0
2021-08-18,182.0
2021-08-19,181.5
2021-08-20,182.0
2021-08-23,182.0
2021-08-24,182.0
2021-08-25,181.5
2021-08-26,181.5
2021-08-27,182.0
2021-08-30,182.0
2021-08-31,182.0
2021-09-01,180.5
2021-09-02,181.0
2021-09-03,182.0
2021-09-06,182.0
2021-09-07,183.5
2021-09-08,187.0
2021-09-09,186.5
2021-09-10,185.0
2021-09-13,181.0
2021-09-14,182.5
2021-09-15,185.0
2021-09-16,186.0
2021-09-17,185.0
2021-09-20,184.0
2021-09-21,184.0
2021-09-22,185.0
2021-09-23,185.0
2021-09-24,186.0
2021-09-27,186.5
2021-09-28,187.0
2021-09-29,187.0
2021-09-30,186.0
2021-10-01,186.0
2021-10-04,185.0
2021-10-05,185.0
2021-10-06,185.5
2021-10-07,184.5
2021-10-12,185.0
2021-10-13,185.0
2021-10-14,185.5
2021-10-15,186.5
2021-10-18,185.5
2021-10-19,187.0
2021-10-20,188.0
2021-10-21,191.0
2021-10-22,195.0
2021-10-25,194.0
2021-10-26,196.0
2021-10-27,197.0
2021-10-28,198.0
2021-10-29,197.5
2021-11-01,196.5
2021-11-02,197.5
2021-11-03,199.0
2021-11-04,199.0
2021-11-05,199.0
2021-11-08,199.0
2021-11-09,199.5
2021-11-10,205.0
2021-11-11,206.5
2021-11-12,200.0
2021-11-15,199.5
2021-11-16,200.5
2021-11-17,201.5
2021-11-18,201.0
2021-11-19,201.5
2021-11-23,201.0
2021-11-24,200.5
2021-11-25,201.0
2021-11-26,201.0
2021-11-29,201.0
2021-11-30,201.5
2021-12-01,200.5
2021-12-02,200.5
2021-12-03,200.5
2021-12-06,199.0
2021-12-07,198.0
2021-12-09,196.0
2021-12-10,196.5
2021-12-13,195.5
2021-12-14,196.5
2021-12-15,198.5
2021-12-16,198.5
2021-12-17,200.0
2021-12-20,200.0
2021-12-21,199.0
2021-12-22,200.5
2021-12-23,204.0
2021-12-27,203.5
2021-12-28,206.0
2021-12-29,209.0
2021-12-30,208.0
2022-01-03,206.0
2022-01-04,206.5
2022-01-05,207.5
2022-01-06,208.5
2022-01-07,208.0
2022-01-10,206.0
2022-01-11,209.0
2022-01-12,208.5
2022-01-13,209.5
2022-01-14,209.5
2022-01-17,209.0
2022-01-18,211.0
2022-01-19,213.0
2022-01-20,214.0
2022-01-21,219.0
2022-01-24,219.0
2022-01-25,219.5
2022-01-26,221.0
2022-01-27,222.5
2022-01-28,212.5
2022-01-31,213.0
2022-02-01,214.0
2022-02-02,216.5
2022-02-03,216.0
2022-02-04,214.0
2022-02-07,214.0
2022-02-08,215.0
2022-02-09,217.0
2022-02-10,215.5
2022-02-11,215.5
2022-02-14,215.0
2022-02-15,215.0
2022-02-16,215.0
2022-02-17,214.0
2022-02-18,211.0
2022-02-21,211.5
2022-02-22,210.0
2022-02-23,210.0
2022-02-24,210.5
2022-02-25,211.0
2022-03-02,206.0
2022-03-03,204.0
2022-03-04,201.0
2022-03-07,201.0
2022-03-08,202.0
2022-03-09,204.5
